route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
"23-616-X-sj2-1","2436","616X","Kellyville Ridge to City QVB","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-617-X-sj2-1","2436","617X","Rouse Hill to City QVB","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-618-X-sj2-1","2436","618X","Norwest Business Park to City QVB via Lane Cove Tunnel","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-619-sj2-1","2436","619","Rouse Hill to Macquarie Park via Castle Hill","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-620-N-sj2-1","2436","620N","Dural to City Wynyard via New Line Rd","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-620-X-sj2-1","2436","620X","Dural to City Wynyard via Cherrybrook","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-621-sj2-1","2436","621","Castle Hill to City Wynyard via Cherrybrook","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-622-sj2-1","2436","622","Dural to Milsons Point via Cherrybrook","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-625-sj2-1","2436","625","Pennant Hills to Parramatta","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-626-sj2-1","2436","626","Dural to Pennant Hills via Cherrybrook","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-627-sj2-1","2436","627","Castle Hill to Chatswood","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-628-sj2-1","2436","628","Norwest to Macquarie Park","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-630-sj2-1","2436","630","Blacktown to Macquarie Park via Carlingford","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-631-sj2-1","2436","631","Castle Hill to Pennant Hills via Castle Hill Rd","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-632-sj2-1","2436","632","Pennant Hills to Castlewood Estate","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-633-sj2-1","2436","633","Pennant Hills to Castle Hill","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-635-sj2-1","2436","635","Castle Hill to Beecroft via West Pennant Hills","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-637-sj2-1","2436","637","Glenorie to Castle Hill via Galston and Round Corner","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-638-sj2-1","2436","638","Berrilee to Pennant Hills via Round Corner","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-639-sj2-1","2436","639","Kenthurst to Castle Hill","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-640-sj2-1","2436","640","Cadwells Rd to Pitt Town and Porters Rds Kenthurst","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-641-sj2-1","2436","641","Rouse Hill Town Centre to Dural","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-642-sj2-1","2436","642","Round Corner Dural to City Wynyard","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-642-X-sj2-1","2436","642X","Round Corner Dural to City Wynyard via Lane Cove Tunnel","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-644-sj2-1","2436","644","Dural to Castle Hill via Ravensbourne Cct","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-650-sj2-1","2436","650","West Pennant Hills to City Wynyard","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-650-X-sj2-1","2436","650X","West Pennant Hills to City Wynyard via Lane Cove Tunnel","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-651-sj2-1","2436","651","Castle Hill to City Wynyard","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-652-X-sj2-1","2436","652X","Knightsbridge to City Wynyard","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-653-sj2-1","2436","653","West Pennant Hills to Milsons Point","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-700-sj2-1","2436","700","Blacktown to Parramatta","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-702-sj2-1","2436","702","Blacktown to Seven Hills via Toongabbie","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-705-sj2-1","2436","705","Blacktown to Parramatta via Seven Hills","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-706-sj2-1","2436","706","Blacktown to Parramatta via Winston Hills","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-708-sj2-1","2436","708","Constitution Hill to Parramatta via Pendle Hill","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-711-sj2-1","2436","711","Blacktown to Parramatta via Wentworthville","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-714-sj2-1","2436","714","Seven Hills to Bella Vista via West Baulkham Hills","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-715-sj2-1","2436","715","Norwest Business Park to Seven Hills","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-M60-sj2-1","2436","M60","Hornsby to Parramatta","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-M61-sj2-1","2436","M61","Castle Hill to City QVB","Sydney Buses Network","3","00B5EF","FFFFFF"
"23-S8-sj2-1","2436","S8","Wentworthville to Constitution Hill","Sydney Buses Network","3","00B5EF","FFFFFF"
